Name,Category,Descript,Address,X,Y,Location
Rukita Deplu 11 Bintaro,Basic,jakarta selatan,"Jl. Deplu Raya No.11, RW.3, Bintaro, Kec. Pesanggrahan, Jakarta Selatan",-6.272.816,106.769.942,"(106.769.942, -6.272.816)"
Rukita U-Town Bintaro,Basic,dekat st jurang mangu,"Cendrawasih Raya U-Town Residence B8-B10, Bintaro, Kec. Ciputat, Kota Tangerang Selatan",-6.292.227,106.726.448,"(106.726.448, -6.292.227)"
Rukita Cendrawasih JM Bintaro Pondok Aren,Basic,dekat san,"Jl. Cendrawasih VI No.12, Jurang Manggu Tim., Kec. Pd. Aren, Kota Tangerang Selatan",-6.267.424,106.736.020,"(106.736.020, -6.267.424)"
Rukita Safwah Bintaro Jaya,Basic,dekat stan,"Jl. H. Som No.126, Pd. Pucung, Kec. Pd. Aren, Kota Tangerang Selatan",-6.277.187,106.714.601,"(106.714.601, -6.277.187)"
